2021-09-21 16:09:86 INFO  BasePage :31 - Launching Chrome Browser 
2021-09-21 16:09:597 INFO  HomePage :24 - Getting text from element : [[ChromeDriver: chrome on WINDOWS (497bec452f7e953f3f8ef70a8a018fc8)] -> xpath: //ul[@class=' maximenuck']//li]Compare it with Contact
2021-09-21 16:09:645 INFO  HomePage :24 - Getting text from element : [[ChromeDriver: chrome on WINDOWS (497bec452f7e953f3f8ef70a8a018fc8)] -> xpath: //ul[@class=' maximenuck']//li]Compare it with Contact
2021-09-21 16:09:661 INFO  HomePage :24 - Getting text from element : [[ChromeDriver: chrome on WINDOWS (497bec452f7e953f3f8ef70a8a018fc8)] -> xpath: //ul[@class=' maximenuck']//li]Compare it with Contact
2021-09-21 16:09:677 INFO  HomePage :24 - Getting text from element : [[ChromeDriver: chrome on WINDOWS (497bec452f7e953f3f8ef70a8a018fc8)] -> xpath: //ul[@class=' maximenuck']//li]Compare it with Contact
2021-09-21 16:09:717 INFO  HomePage :24 - Getting text from element : [[ChromeDriver: chrome on WINDOWS (497bec452f7e953f3f8ef70a8a018fc8)] -> xpath: //ul[@class=' maximenuck']//li]Compare it with Contact
2021-09-21 16:09:757 INFO  HomePage :24 - Getting text from element : [[ChromeDriver: chrome on WINDOWS (497bec452f7e953f3f8ef70a8a018fc8)] -> xpath: //ul[@class=' maximenuck']//li]Compare it with Contact
2021-09-21 16:09:797 INFO  HomePage :24 - Getting text from element : [[ChromeDriver: chrome on WINDOWS (497bec452f7e953f3f8ef70a8a018fc8)] -> xpath: //ul[@class=' maximenuck']//li]Compare it with Contact
2021-09-21 16:09:837 INFO  HomePage :24 - Getting text from element : [[ChromeDriver: chrome on WINDOWS (497bec452f7e953f3f8ef70a8a018fc8)] -> xpath: //ul[@class=' maximenuck']//li]Compare it with Contact
2021-09-21 16:09:877 INFO  HomePage :24 - Getting text from element : [[ChromeDriver: chrome on WINDOWS (497bec452f7e953f3f8ef70a8a018fc8)] -> xpath: //ul[@class=' maximenuck']//li]Compare it with Contact
2021-09-21 16:09:909 INFO  HomePage :24 - Getting text from element : [[ChromeDriver: chrome on WINDOWS (497bec452f7e953f3f8ef70a8a018fc8)] -> xpath: //ul[@class=' maximenuck']//li]Compare it with Contact
2021-09-21 16:09:957 INFO  HomePage :24 - Getting text from element : [[ChromeDriver: chrome on WINDOWS (497bec452f7e953f3f8ef70a8a018fc8)] -> xpath: //ul[@class=' maximenuck']//li]Compare it with Contact
2021-09-21 16:09:989 INFO  HomePage :24 - Getting text from element : [[ChromeDriver: chrome on WINDOWS (497bec452f7e953f3f8ef70a8a018fc8)] -> xpath: //ul[@class=' maximenuck']//li]Compare it with Contact
2021-09-21 16:09:29 INFO  HomePage :24 - Getting text from element : [[ChromeDriver: chrome on WINDOWS (497bec452f7e953f3f8ef70a8a018fc8)] -> xpath: //ul[@class=' maximenuck']//li]Compare it with Contact
2021-09-21 16:09:69 INFO  HomePage :24 - Getting text from element : [[ChromeDriver: chrome on WINDOWS (497bec452f7e953f3f8ef70a8a018fc8)] -> xpath: //ul[@class=' maximenuck']//li]Compare it with Contact
